RecordID,NPA,NXX,LATA,RateCenterName ,WireCenterName,WireCenterCity,State,ZipCode1,ZipCode2,ZipCode3,FIPSCode ,Latitude,Longitude
1,213,201,730,LACZ 10,IRVINE,LOS ANGELES,CA,90017,90071,90014,06037,34.0514,-118.2613
2,213,202,730,LACZ 1,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
3,213,204,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
4,213,205,730,LACZ 7,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
5,213,207,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
6,213,210,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
7,213,212,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
8,213,213,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90017,90071,90014,06037,34.0514,-118.2613
9,213,214,730,LACZ 10,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
10,213,217,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
11,213,218,730,LACZ 1,IRVINE,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
12,213,221,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
13,213,222,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90017,90071,90014,06037,34.0514,-118.2613
14,213,223,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90017,90071,90014,06037,34.0514,-118.2613
15,213,224,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
16,213,225,730,LACZ 1,IRVINE,LOS ANGELES,CA,90017,90071,90014,06037,34.0514,-118.2613
17,213,226,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
18,213,227,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
19,213,228,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
20,213,229,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
21,213,231,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
22,213,232,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90014,90071,90017,06037,34.0462,-118.2568
23,213,233,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
24,213,234,730,LACZ 7,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
25,213,235,730,LACZ 10,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
26,213,236,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
27,213,237,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
28,213,238,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
29,213,239,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
30,213,240,730,LACZ 1,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
31,213,241,730,LACZ 1,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
32,213,242,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
33,213,243,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
34,213,244,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
35,213,245,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90015,90079,90014,06037,34.0333,-118.2650
36,213,246,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
37,213,249,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
38,213,250,730,LACZ 1,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
39,213,251,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
40,213,252,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
41,213,253,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
42,213,254,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
43,213,255,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
44,213,256,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90017,90014,06037,34.0507,-118.2559
45,213,257,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
46,213,258,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
47,213,259,730,LACZ 7,BELLFLOWER,LOS ANGELES,CA,90015,90014,90007,06037,34.0333,-118.2650
48,213,260,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90057,90006,90005,06037,34.0587,-118.2822
49,213,261,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
50,213,262,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
51,213,265,730,LACZ 1,ANAHEIM-LEMON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
52,213,266,730,LACZ 1,ANAHEIM-LEMON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
53,213,267,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
54,213,269,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
55,213,270,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90014,90071,90017,06037,34.0462,-118.2568
56,213,271,730,LACZ 1,IRVINE,LOS ANGELES,CA,90015,90014,90071,06037,34.0372,-118.2586
57,213,273,730,LACZ 10,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
58,213,274,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
59,213,275,730,LACZ 7,IRVINE,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
60,213,277,730,LACZ 10,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
61,213,279,730,LACZ 1,IRVINE,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
62,213,281,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
63,213,282,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
64,213,283,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
65,213,284,730,LACZ 7,LOS ANGELES,LOS ANGELES,CA,90014,90071,90017,06037,34.0462,-118.2568
66,213,285,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
67,213,286,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90014,90071,90017,06037,34.0462,-118.2568
68,213,288,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
69,213,289,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
70,213,290,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90014,90013,06037,34.0500,-118.2505
71,213,291,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90017,90071,90015,06037,34.0521,-118.2668
72,213,292,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
73,213,293,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
74,213,294,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
75,213,295,730,LACZ 7,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
76,213,296,730,LACZ 10,IRVINE,LOS ANGELES,CA,90057,90006,90005,06037,34.0587,-118.2822
77,213,297,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
78,213,298,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
79,213,302,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
80,213,306,730,LACZ 6,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
81,213,310,730,LACZ 1,IRVINE,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
82,213,312,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
83,213,314,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
84,213,315,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
