ZipCode,State,FIPS,MovesOutOfZip,MovesIntoZip,TotalMoves,PctLeave,PctMoveIn,ZipCode_Latitude,ZipCode_Longitude
92655,CA,06059,75,76,151,49.67,50.33,33.745600,-117.985900
92844,CA,06059,238,183,421,56.53,43.47,33.767100,-117.971000
90630,CA,06059,1197,1012,2209,54.19,45.81,33.821500,-118.040000
92866,CA,06059,284,203,487,58.32,41.68,33.784500,-117.846000
92706,CA,06059,357,205,562,63.52,36.48,33.764800,-117.880600
92865,CA,06059,508,241,749,67.82,32.18,33.829000,-117.846300
92653,CA,06059,591,499,1090,54.22,45.78,33.600300,-117.705100
90680,CA,06059,433,389,822,52.68,47.32,33.801100,-117.995200
92802,CA,06059,590,395,985,59.90,40.10,33.806200,-117.923400
92651,CA,06059,617,867,1484,41.58,58.42,33.535300,-117.770300
92657,CA,06059,210,344,554,37.91,62.09,33.602100,-117.830800
92840,CA,06059,640,394,1034,61.90,38.10,33.785400,-117.931800
92662,CA,06059,80,98,178,44.94,55.06,33.606100,-117.891500
92647,CA,06059,1446,1280,2726,53.04,46.96,33.720900,-118.001500
92673,CA,06059,628,703,1331,47.18,52.82,33.461200,-117.618400
92833,CA,06059,1171,889,2060,56.84,43.16,33.873700,-117.963000
90740,CA,06059,903,1056,1959,46.09,53.91,33.761300,-118.087500
92701,CA,06059,424,367,791,53.60,46.40,33.748100,-117.861300
92886,CA,06059,1128,895,2023,55.76,44.24,33.889900,-117.806500
92870,CA,06059,1104,894,1998,55.26,44.74,33.878200,-117.854700
92835,CA,06059,608,576,1184,51.35,48.65,33.901100,-117.913500
92617,CA,06059,417,313,730,57.12,42.88,33.643200,-117.837900
92868,CA,06059,648,490,1138,56.94,43.06,33.786400,-117.876300
92660,CA,06059,1116,1209,2325,48.00,52.00,33.639000,-117.875200
92649,CA,06059,896,864,1760,50.91,49.09,33.721300,-118.043400
92630,CA,06059,1549,1104,2653,58.39,41.61,33.641400,-117.688900
92703,CA,06059,383,232,615,62.28,37.72,33.748500,-117.905400
90720,CA,06059,747,816,1563,47.79,52.21,33.798900,-118.068600
92677,CA,06059,1762,1723,3485,50.56,49.44,33.533100,-117.700800
92821,CA,06059,1145,930,2075,55.18,44.82,33.922400,-117.893200
92782,CA,06059,650,547,1197,54.30,45.70,33.734100,-117.792600
92691,CA,06059,1026,773,1799,57.03,42.97,33.607200,-117.667500
92688,CA,06059,1230,678,1908,64.47,35.53,33.636900,-117.604300
92606,CA,06059,618,521,1139,54.26,45.74,33.696300,-117.814700
92692,CA,06059,1054,994,2048,51.46,48.54,33.612300,-117.644100
92867,CA,06059,812,527,1339,60.64,39.36,33.810700,-117.831200
90620,CA,06059,932,705,1637,56.93,43.07,33.842500,-118.012400
92831,CA,06059,802,666,1468,54.63,45.37,33.879800,-117.891400
92808,CA,06059,515,373,888,58.00,42.00,33.858300,-117.742300
92676,CA,06059,30,19,49,61.22,38.78,33.717200,-117.642700
92663,CA,06059,552,654,1206,45.77,54.23,33.620500,-117.927300
92780,CA,06059,895,601,1496,59.83,40.17,33.738000,-117.821100
92807,CA,06059,835,607,1442,57.91,42.09,33.852400,-117.795700
90621,CA,06059,823,663,1486,55.38,44.62,33.870600,-117.996300
92637,CA,06059,730,1021,1751,41.69,58.31,33.608000,-117.723000
90623,CA,06059,393,313,706,55.67,44.33,33.850200,-118.039900
92841,CA,06059,457,295,752,60.77,39.23,33.785900,-117.978300
92661,CA,06059,127,122,249,51.00,49.00,33.602500,-117.902200
92614,CA,06059,914,837,1751,52.20,47.80,33.683400,-117.841100
92887,CA,06059,513,463,976,52.56,47.44,33.880600,-117.741600
92832,CA,06059,570,483,1053,54.13,45.87,33.867300,-117.928300
92823,CA,06059,166,192,358,46.37,53.63,33.920100,-117.834600
92610,CA,06059,346,272,618,55.99,44.01,33.682700,-117.663300
92629,CA,06059,862,833,1695,50.86,49.14,33.474700,-117.701700
92626,CA,06059,1427,1133,2560,55.74,44.26,33.679600,-117.903800
92708,CA,06059,860,776,1636,52.57,47.43,33.710400,-117.951300
92602,CA,06059,725,663,1388,52.23,47.77,33.726100,-117.775700
92801,CA,06059,1053,698,1751,60.14,39.86,33.842300,-117.953000
92705,CA,06059,1011,823,1834,55.13,44.87,33.755500,-117.824100
92694,CA,06059,980,951,1931,50.75,49.25,33.551500,-117.636400
92675,CA,06059,727,644,1371,53.03,46.97,33.500400,-117.660000
92612,CA,06059,1150,1016,2166,53.09,46.91,33.667200,-117.842600
92624,CA,06059,209,200,409,51.10,48.90,33.462200,-117.668700
92603,CA,06059,474,449,923,51.35,48.65,33.638700,-117.804000
92627,CA,06059,1202,896,2098,57.29,42.71,33.647200,-117.918700
92707,CA,06059,522,333,855,61.05,38.95,33.711200,-117.870300
92618,CA,06059,2292,2456,4748,48.27,51.73,33.662100,-117.748300
92806,CA,06059,844,660,1504,56.12,43.88,33.836800,-117.874800
92805,CA,06059,1340,907,2247,59.64,40.36,33.832800,-117.908000
92861,CA,06059,82,88,170,48.24,51.76,33.817200,-117.811100
92804,CA,06059,1414,922,2336,60.53,39.47,33.819000,-117.978900
92604,CA,06059,657,431,1088,60.39,39.61,33.687900,-117.789300
92704,CA,06059,642,379,1021,62.88,37.12,33.721300,-117.907100
92679,CA,06059,967,617,1584,61.05,38.95,33.633900,-117.590600
92625,CA,06059,312,412,724,43.09,56.91,33.599300,-117.869700
92683,CA,06059,1099,810,1909,57.57,42.43,33.754000,-117.993400
92646,CA,06059,1418,1155,2573,55.11,44.89,33.669200,-117.970200
92656,CA,06059,1500,1107,2607,57.54,42.46,33.579000,-117.725800
92620,CA,06059,1380,1285,2665,51.78,48.22,33.706100,-117.758000
92845,CA,06059,384,310,694,55.33,44.67,33.783400,-118.027400
90631,CA,06059,1537,1338,2875,53.46,46.54,33.931400,-117.952400
92648,CA,06059,1498,1431,2929,51.14,48.86,33.675000,-117.999400
92843,CA,06059,405,216,621,65.22,34.78,33.764500,-117.932400
92672,CA,06059,1114,1085,2199,50.66,49.34,33.424100,-117.611900
92869,CA,06059,576,459,1035,55.65,44.35,33.792000,-117.799300
